"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"lcl|CP002688.1_cds_ANM69196.1_42749",515.232680331344,-0.171602847267534,0.135860013235262,15.3554651455055,0.0176650540410452,0.0424811108048085
"lcl|CP002685.1_cds_AEC10676.1_19871",175.516035801395,-0.119484098223627,0.174757620873283,15.3550728469718,0.0176677310958598,0.0424837638697344
"lcl|CP002688.1_cds_AED93044.1_40954",24.3946562405764,0.931475779524989,0.709611149395056,15.3548290680082,0.0176693948451216,0.0424839800881101
"lcl|CP002687.1_cds_AEE81947.1_29906",12.3571864527869,-0.640891211383423,0.389355248752279,15.3524858542765,0.0176853945242206,0.0425186622539019
"lcl|CP002686.1_cds_AEE78367.1_26842",108.012318006855,22.0954641253172,2.21874935947089,15.3520829130192,0.0176881472412653,0.0425214931543963
"lcl|CP002685.1_cds_ANM62282.1_12679",297.28862755758,0.185304295368092,0.146106720339278,15.3495992785961,0.0177051233936184,0.042558512990858
"lcl|CP002688.1_cds_AED90868.1_37960",24.2477824024398,0.788929703633378,0.366474401918938,15.3475384193644,0.0177192216287803,0.0425848815470246
"lcl|CP002684.1_cds_AEE28100.1_1297",2331.18793808596,0.335396511610945,0.136732946866058,15.34753451708,0.0177192483343032,0.0425848815470246
"lcl|CP002684.1_cds_ANM60177.1_12",1375.41671490903,-0.194151802922596,0.0519711394538604,15.3444682386202,0.0177402445119276,0.0426315463682876
"lcl|CP002684.1_cds_AEE31869.1_6399",14.9848522153778,-1.58750887931105,0.581594349922931,15.343668513443,0.0177457245014114,0.0426409192799625
"lcl|CP002685.1_cds_ANM62954.1_16378",7.82170705273199,-0.103048332656498,1.87930710267539,15.3428554038805,0.0177512978664089,0.0426505148736842
"lcl|CP002687.1_cds_AEE86159.1_35804",56350.4522580175,0.053779457790612,0.12340594493698,15.3419639243626,0.0177574103345744,0.042661403931248
"lcl|CP002684.1_cds_AEE33741.1_8915",194.862711480878,0.583131890928546,0.179787059419779,15.3405080347669,0.0177673970367754,0.0426777999297664
"lcl|CP002687.1_cds_AEE85698.1_35161",456.645822125828,0.0768855242080511,0.0856689127118482,15.3406480174318,0.0177664365894984,0.0426777999297664
"lcl|CP002684.1_cds_AEE29516.1_3239",1113.08202194778,0.225890169740063,0.0786386954780328,15.3385932052969,0.0177805400307238,0.0427055696760706
